Binomial,Family,Genus,Adult_habitat,Life_history,Sex_dichromatism,SVL,mass,rootmass,eyesize
Duttaphrynus_melanostictus,Bufonidae,Duttaphrynus,Ground-dwelling,Free-living larvae,Absent,69.3,34.43333333,3.18759279,8.233333333
Duttaphrynus_stomaticus,Bufonidae,Duttaphrynus,Ground-dwelling,Free-living larvae,Present,59.43333333,22.86666667,2.838196022,7.1
Epidalea_calamita,Bufonidae,Epidalea,Ground-dwelling,Free-living larvae,Absent,57.4,20.2,2.716064766,7.9
Incilius_luetkenii,Bufonidae,Incilius,Ground-dwelling,Free-living larvae,Present,37.3,3,1.44224957,5.9
Ingerophrynus_galeatus,Bufonidae,Ingerophrynus,Ground-dwelling,Free-living larvae,Absent,72.7,45.63333333,3.5015351,8.066666667
Leptophryne_borbonica,Bufonidae,Leptophryne,Subfossorial,Free-living larvae,Absent,29.83333333,3.3,1.473047669,3.883333333
Melanophryniscus_stelzneri,Bufonidae,Melanophryniscus,Ground-dwelling,Free-living larvae,Absent,30.2,2.9,1.423746704,3.7
Mertensophryne_micranotis,Bufonidae,Mertensophryne,Subfossorial,Free-living larvae,Present,18.53333333,0.6,0.841679064,2.316666667
Phrynoidis_asper,Bufonidae,Phrynoidis,Semiaquatic,Free-living larvae,Absent,62.4,30.16666667,3.081674409,8.55
Phrynoidis_juxtasper,Bufonidae,Phrynoidis,Ground-dwelling,Free-living larvae,Absent,117.1333333,120.3666667,4.674728395,15
Rentapia_hosii,Bufonidae,Rentapia,Scansorial,Free-living larvae,Present,84.575,51.3,3.662516333,9.65
Rhaebo_glaberrimus,Bufonidae,Rhaebo,Ground-dwelling,Free-living larvae,Absent,105.2333333,94.23333333,4.362685679,13.86666667
Rhaebo_nasicus,Bufonidae,Rhaebo,Subfossorial,NA,NA,56.86666667,16.06666667,2.422619354,7.533333333
Rhinella_marina,Bufonidae,Rhinella,Ground-dwelling,Free-living larvae,Present,113.8,138.3333333,5.152701151,14.31666667
Rhinella_ocellata,Bufonidae,Rhinella,Ground-dwelling,NA,Absent,46.2,14.1,2.415867089,6.3
Schismaderma_carens,Bufonidae,Schismaderma,Ground-dwelling,Free-living larvae,Present,76.1,41.96666667,3.392832306,7.983333333
